f0_j1,f0_j2,f0_j3,f1_j1,f1_j2,f1_j3,f2_j1,f2_j2,f2_j3,f3_j1,f3_j2,f3_j3,f4_j1,f4_j2,f4_j3
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
15.0,0.0,15.0,30.0,90.0,0.0,15.0,90.0,0.0,15.0,90.0,15.0,0.0,0.0,0.0
15.0,15.0,30.0,15.0,90.0,15.0,15.0,90.0,15.0,15.0,90.0,15.0,0.0,0.0,0.0
0.0,15.0,15.0,15.0,90.0,15.0,30.0,90.0,15.0,15.0,90.0,15.0,0.0,15.0,0.0
15.0,15.0,15.0,15.0,90.0,15.0,30.0,90.0,15.0,15.0,90.0,15.0,0.0,0.0,0.0
15.0,15.0,15.0,30.0,90.0,30.0,30.0,90.0,15.0,15.0,90.0,30.0,0.0,15.0,0.0
30.0,15.0,0.0,45.0,90.0,15.0,45.0,90.0,15.0,45.0,90.0,15.0,0.0,0.0,15.0
15.0,15.0,0.0,45.0,60.0,45.0,60.0,90.0,15.0,60.0,90.0,15.0,60.0,90.0,15.0
15.0,0.0,15.0,45.0,90.0,15.0,30.0,90.0,15.0,15.0,90.0,15.0,15.0,15.0,0.0
15.0,0.0,15.0,0.0,90.0,0.0,30.0,90.0,15.0,15.0,90.0,15.0,0.0,0.0,0.0
15.0,0.0,15.0,0.0,90.0,0.0,15.0,90.0,15.0,15.0,90.0,15.0,0.0,0.0,0.0
15.0,0.0,15.0,15.0,90.0,0.0,30.0,90.0,15.0,30.0,90.0,15.0,0.0,0.0,0.0
15.0,0.0,15.0,15.0,90.0,0.0,30.0,90.0,15.0,30.0,90.0,15.0,0.0,0.0,0.0
15.0,0.0,15.0,15.0,90.0,0.0,30.0,90.0,15.0,30.0,90.0,15.0,0.0,0.0,0.0
15.0,0.0,15.0,15.0,90.0,0.0,30.0,90.0,15.0,30.0,90.0,15.0,0.0,0.0,0.0
15.0,0.0,15.0,15.0,90.0,0.0,30.0,90.0,15.0,15.0,90.0,15.0,0.0,0.0,0.0
15.0,0.0,15.0,0.0,90.0,0.0,30.0,90.0,15.0,15.0,90.0,15.0,0.0,0.0,0.0
15.0,0.0,15.0,0.0,90.0,0.0,15.0,90.0,15.0,15.0,90.0,15.0,0.0,0.0,0.0
15.0,0.0,15.0,0.0,90.0,0.0,15.0,90.0,15.0,15.0,90.0,15.0,0.0,0.0,0.0
15.0,0.0,15.0,0.0,90.0,0.0,15.0,90.0,15.0,15.0,90.0,15.0,0.0,0.0,0.0
15.0,0.0,15.0,0.0,90.0,15.0,15.0,90.0,30.0,15.0,90.0,30.0,15.0,0.0,0.0
15.0,0.0,0.0,15.0,15.0,60.0,15.0,90.0,60.0,30.0,90.0,60.0,30.0,15.0,0.0
15.0,0.0,0.0,0.0,0.0,15.0,15.0,0.0,0.0,30.0,15.0,0.0,30.0,15.0,0.0
15.0,0.0,0.0,0.0,90.0,30.0,15.0,90.0,30.0,30.0,90.0,45.0,30.0,60.0,90.0
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
